COD,LOC,REF,PRC,QTD
420652,QUIMICA / ALCOOL,*Alcool Isopropilico  100ml Comkitel 42.065.2,7.95,0.00
42065,QUIMICA / ALCOOL,*Alcool Isopropilico  250ml Comkitel 42.065,16.90,0.00
420651,QUIMICA / ALCOOL,*Alcool Isopropilico  500ml Comkitel 42.065.1 ,29.90,-1.00
420653,QUIMICA / ALCOOL,*Alcool Isopropilico 1000ml Comkitel 42.065.3 :CA5,49.90,54.00
420655,QUIMICA / ALCOOL,*Alcool Isopropilico 5 litros Comkitel 42.065.5,199.90,0.00
4891199002212,BATERIA / BAT 9V,*Bateria 9V 45.04.009 GP :BE2,6.90,44.00
041333001043,BATERIA / BAT 9V,*Bateria 9V Alcalina Duracell 45.04.004  :BE2,24.90,38.00
7897013534249,BATERIA / BAT 9V,*Bateria 9V Alcalina Elgin 45.04.007 ,13.90,0.00
8712581544164,BATERIA / BAT 9V,*Bateria 9V Alcalina Philips 45.04.005,13.90,0.00
4504003,BATERIA / BAT 9V,*Bateria 9V New Leader 45.04.003,5.90,0.00
8712581547004,BATERIA / BAT 9V,*Bateria 9V Philips 45.04.002,7.90,0.00
4510042,BATERIA / MOEDA LIT,"*Bateria Alcalina 1,55V AG12 LR43 386 386A V386 186 L1142 301 45.10.042",2.90,0.00
4510035,BATERIA / MOEDA LIT,"*Bateria Alcalina 1,55V AG5 LR48 LR754 SR754W 393 45.10.035",2.90,0.00
4510037,BATERIA / MOEDA LIT,"*Bateria Alcalina 1,55V AG7 395A 926 LR927 SR927SW LR57 SR927 395 45.10.037",2.90,0.00
4510040,BATERIA / MOEDA LIT,"*Bateria Alcalina 1,5V AG10 LR1131 389A 45.10.040",2.90,0.00
7897013538124,BATERIA / MOEDA LIT,"*Bateria Alcalina 1,5V LR44 AG13 A76 Elgin  45.10.017",3.20,0.00
5415329877595,BATERIA / MOEDA LIT,"*Bateria Alcalina 1,5V LR44 AG13 A76 Flex 45.10.034 ",1.50,0.00
4891199015496,BATERIA / MOEDA LIT,"*Bateria Alcalina 1,5V LR44 AG13 A76 GP 45.10.018",3.40,164.00
4510015,BATERIA / MOEDA LIT,"*Bateria Alcalina 1,5V LR44 AG13 A76 Panasonic 45.10.015 ",3.20,0.00
4891199002311,BATERIA / BAT 9V,*Bateria Alcalina 9V GP 45.04.008 ,18.90,0.00
4511001,BATERIA / PILHA LIT,*Bateria CR123A Lithium Panasonic 45.11.001,28.90,0.00
7898615150691,BATERIA / MOEDA LIT,*Bateria Lithium 3V CR1220 45.10.041,2.50,0.00
5435627465409,BATERIA / MOEDA LIT,*Bateria Lithium 3V CR1620 45.10.050,2.90,1.00
7897013538094,BATERIA / MOEDA LIT,*Bateria Lithium 3V CR2016 Elgin 45.10.031,3.50,0.00
4895026704720,BATERIA / MOEDA LIT,*Bateria Lithium 3V CR2016 GP ou Golden Power 45.10.008,2.90,2.00
4510002,BATERIA / MOEDA LIT,*Bateria Lithium 3V CR2016 Maxell 45.10.002 ,3.20,0.00
7899170804111,BATERIA / MOEDA LIT,*Bateria Lithium 3V CR2016 Smart 45.10.026,1.50,0.00
008562007628,BATERIA / MOEDA LIT,*Bateria Lithium 3V CR2016 Sony 45.10.029,3.90,78.00
7897013538100,BATERIA / MOEDA LIT,*Bateria Lithium 3V CR2025 Elgin 45.10.033,2.20,0.00
4891199001130,BATERIA / MOEDA LIT,*Bateria Lithium 3V CR2025 GP/GC 45.10.007,3.20,49.00
025215736476,BATERIA / MOEDA LIT,*Bateria Lithium 3V CR2025 Maxell 3031 45.10.030,3.90,60.00
4510024,BATERIA / MOEDA LIT,*Bateria Lithium 3V CR2025 Panasonic Digital 45.10.024,4.50,0.00
7897013553455,BATERIA / MOEDA LIT,*Bateria Lithium 3V CR2032 Elgin 45.10.032,4.20,95.00
4891199001147,BATERIA / MOEDA LIT,*Bateria Lithium 3V CR2032 GP ou Golden Power 45.10.019 ,3.90,89.00
025215736483,BATERIA / MOEDA LIT,*Bateria Lithium 3V CR2032 Maxell 45.10.001,4.20,48.00
4510025,BATERIA / MOEDA LIT,*Bateria Lithium 3V CR2032 MOX/GC/Smart 45.10.025,2.50,0.00
7896067202340,BATERIA / MOEDA LIT,*Bateria Lithium 3V CR2032 Panasonic Digital 45.10.016,5.20,0.00
8711500829894,BATERIA / MOEDA LIT,*Bateria Lithium 3V CR2032 Philips 45.10.013,6.90,0.00
7898615150776,BATERIA / MOEDA LIT,*Bateria Lithium 3V LR621 45.10.044,2.90,0.00
5435627465089,BATERIA / MOEDA LIT,*Bateria Lithium 3V LR66 LR626 AG4 SR621  45.10.043,2.90,9.00
4891199001086,BATERIA / PILHA LIT,*Bateria Lithium CR123A 3V 45.11.006  :BE2,28.90,19.00
4891199006999,BATERIA / PILHA LIT,*Bateria Lithium CR2 DLCR2 3V GP 45.11.002,36.90,10.00
5379861525102,BATERIA / MOEDA LIT,*Bateria Lithium CR2430 3v Flex 45.10.020,6.90,18.00
5379861525119,BATERIA / MOEDA LIT,*Bateria Moeda CR2450 3V GP 45.10.012,6.90,14.00
5379861525126,BATERIA / MOEDA LIT,*Bateria Moeda CR2477 3V Alarme 45.10.014 ,8.90,7.00
7896009725012,BATERIA / BAT 9V,*Bateria Rayovac 9V 45.04.010,19.80,0.00
4511004,BATERIA / PILHA LIT,"*Bateria Recarregavel 3,6V x 1.200mAh Litio Axial com terminais 45.11.004 ER14250",12.90,0.00
5415329877588,BATERIA / BAT 9V,*Bateria Recarregavel 9V NiMh Flex 250mAh  45.04.001,54.20,0.00
7893007670160,BATERIA / SELADA,"*Bateria Selada  6V X 1,3ah Up613 45.15.005",51.90,4.00
7893007670207,BATERIA / SELADA,*Bateria Selada  6V X 12ah Up6120 45.15.008 :IC4,121.90,24.00
7893007670238,BATERIA / SELADA,"*Bateria Selada  6V X 2,8ah Up628 45.15.010 ",38.90,2.00
7893007440022,BATERIA / SELADA,"*Bateria Selada  6V X 4,5ah Up645 45.15.002  :IC4",47.90,19.00
7893007670191,BATERIA / SELADA,"*Bateria Selada  6V X 7,2ah Up672 45.15.007 :IC4",85.90,19.00
7893007670153,BATERIA / SELADA,"*Bateria Selada 12V X 1,3ah Up1213 45.15.004",62.90,0.00
7893007670214,BATERIA / SELADA,*Bateria Selada 12V X 12ah Up12120 45.15.009,195.90,4.00
7893007670023,BATERIA / SELADA,"*Bateria Selada 12V X 2,3ah Up1223 45.15.011 ",92.40,10.00
7893007670184,BATERIA / SELADA,"*Bateria Selada 12V X 4,5ah Up1245 45.15.006 :IC5",110.20,16.00
7893007671112,BATERIA / SELADA,*Bateria Selada 12V X 7ah Up1270 45.15.001 :IC6,98.90,13.00
7893007670290,BATERIA / SELADA,*Bateria Selada 12V X 9a Up1290 45.15.020,139.80,5.00
4512003,BATERIA / BAT TEL,"*Bateria Telefone sem Fio 3,6V X 850mAh  AAA Pequena HHR-P104 45.12.003",21.90,0.00
7898615150936,BATERIA / MOEDA LIT,"*Bateria Zinc Air 1,4V Modelo 312 PR41 Aparelho Auditivo 45.10.005",8.90,6.00
7896067200292,BATERIA / MOEDA LIT,"*Bateria Zinc Air 1,4V Panasonic PR230H Aparelho Auditivo 45.10.022",4.90,0.00
7896067200261,BATERIA / MOEDA LIT,"*Bateria Zinc Air 1,4V Panasonic PR675H Aparelho Auditivo 45.10.023",4.90,6.00
8710895918282,BATERIA / MOEDA LIT,"*Bateria Zinc Air 1,4V Philips Modelo 10/230 Aparelho Auditivo 45.10.004",5.20,0.00
8562006249,BATERIA / MOEDA LIT,"*Bateria Zinc Air 1,4V Sony 675 PR44 Aparelho Auditivo 45.10.021",5.20,6.00
5019068088009,BATERIA / MOEDA LIT,"*Bateria Zinc Air 1,4V Sony Modelo 13 Aparelho Auditivo PR48 45.10.006",6.90,0.00
42035,FERRAMENTA,*Caneta Ponta Porosa para Circuito Impresso Comkitel 42.035 :CB5,6.90,60.00
040232762789,QUIMICA,*CCL Spray 300ml Chemitron 42.087 ,14.90,0.00
7896038105083,QUIMICA,*Cola de Madeira PoliMadeira 250g Pulvitec 70.002 ,9.90,9.00
7891200011537,QUIMICA,*Cola Epoxi Liquido 16gr Loctite 70.004.5 ,17.20,0.00
7891200011766,QUIMICA,"*Cola Super Bonder 1,5g Loctite 70.001.2",5.90,0.00
7891200190942,QUIMICA,*Cola Super Bonder 3g Loctite 70.001,7.60,11.00
7891200234257,QUIMICA,*Cola Super Bonder 5g Loctite 70.001.1,12.90,0.00
700014,QUIMICA,*Cola Super Bonder Flex Gel 3g Loctite 70.001.4,9.60,0.00
7898446730826,QUIMICA,*Congelante de Circuito Integrado Aerosol 150g Implastec 42.068 ,84.90,2.00
040232762826,QUIMICA / LIMPA CONTATO,*Contacmatic Limpa Contato Spray 200ml Sprayon 42.070  :CB2/CB3/CB4,16.90,179.00
7898446730093,QUIMICA,*Espuma Limpadora Antiestatica 200ml Implastec 42.076,18.90,0.00
7896193242784,FITA / ISOLANTE,*Fita Crepe 48 X 50m 70.016.3 :BB6,14.90,10.00
70008,FITA / ISOLANTE,*Fita Dupla Face 10mm x 30m 70.008,24.20,0.00
7891040075126,FITA / ISOLANTE,*Fita Dupla Face 12m X 2m 70.007,14.90,0.00
70101,FITA / ISOLANTE,*Fita Dupla Face 3mm POR METRO 70.101,1.60,46.42
70100,FITA / ISOLANTE,*Fita Dupla Face 3mm x 50m 70.100,39.80,1.00
7891040036974,FITA / ISOLANTE,*Fita Isolante  2m Autofusão 3M Scotch 70.005.1  :BB4,10.20,16.00
7891040129157,FITA / ISOLANTE,*Fita Isolante  5m Alarme e Som 3M 34542 70.015.7 ,1.00,0.00
7891040002894,FITA / ISOLANTE,*Fita Isolante  5m Highland 3M 70.015.3 ,2.90,0.00
7891040106370,FITA / ISOLANTE,*Fita Isolante  5m Imperial 3M 70.014  ,3.30,28.00
7896451857040,FITA / ISOLANTE,*Fita Isolante  5m Lorenzetti 70.014.5 :BB4,3.20,25.00
7891040004386,FITA / ISOLANTE,*Fita Isolante  5m Scotch 33+ 70.014.1  :BB4,9.90,49.00
7891040014149,FITA / ISOLANTE,*Fita Isolante 10m Autofusão 3M Scotch 70.005 :BB4,39.80,12.00
7891040002900,FITA / ISOLANTE,*Fita Isolante 10m Highland 3M 70.015.1,5.40,0.00
7891040106363,FITA / ISOLANTE,*Fita Isolante 10m Imperial 3M 70.013.1  :BB4,5.90,48.00
7891040212781,FITA / ISOLANTE,*Fita Isolante 10m Imperial/Temflex 3M Amarela 70.015.7AM,7.90,9.00
7891040212804,FITA / ISOLANTE,*Fita Isolante 10m Imperial/Temflex 3M Azul 70.015.7AZ  :BB4,7.90,20.00
7891040212828,FITA / ISOLANTE,*Fita Isolante 10m Imperial/Temflex 3M Branca 70.015.7BR  :BB4,7.90,20.00
7891040065059,FITA / ISOLANTE,*Fita Isolante 10m Imperial/Temflex 3M Verde 70.015.7VD :BB4,7.90,26.00
7891040212866,FITA / ISOLANTE,*Fita Isolante 10m Imperial/Temflex 3M Vermelha 70.015.7VM,7.90,8.00
7896451857057,FITA / ISOLANTE,*Fita Isolante 10m Lorenzetti 70.014.4 ,4.20,26.00
7891040004393,FITA / ISOLANTE,*Fita Isolante 10m Scotch 33+ 70.014.2 :BB4,17.90,20.00
7895194174971,FITA / ISOLANTE,"*Fita Isolante 20m ANTI CHAMA 19X0,13XMM 3M 70.013.2",6.90,10.00
7891040002917,FITA / ISOLANTE,*Fita Isolante 20m Highland 3M 70.015.2,8.40,0.00
7891040105502,FITA / ISOLANTE,*Fita Isolante 20m Imperial 3M 70.014.0,9.40,9.00
7896451857064,FITA / ISOLANTE,*Fita Isolante 20m Lorenzetti 70.014.3  :BB4,6.90,16.00
7891040004416,FITA / ISOLANTE,*Fita Isolante 20m Scotch 33+ 70.015  :BB4,29.80,20.00
7898001611225,QUIMICA,*Fita Isolante Liquida Bisnaga 50gr Quimatic 42.110 :CC5,29.80,18.00
7898001611218,QUIMICA,*Fita Isolante Liquida Lata 200ml Quimatic 42.111,57.90,0.00
7896603899935,FITA,*Fita Silver Tape 48mm x 5m Adelbras 70.016.8 ,9.80,2.00
4213003,QUIMICA,*Fluxo de Solda 390DH4LV 30g Seringa Best 42.13.003,98.90,0.00
4213002,QUIMICA,*Fluxo de Solda 5305 100ml Best 42.13.002 ,9.80,0.00
4213001,QUIMICA,*Fluxo de Solda 5305 500ml Best 42.13.001,21.90,0.00
4213007,QUIMICA,*Fluxo de Solda Resinoso 4123 500ml Best 42.13.007,24.90,0.00
4213006,QUIMICA,*Fluxo de Solda Resinoso 4127 100ml Best 42.13.006,13.90,0.00
4213005,QUIMICA,*Fluxo de Solda Spray 300ml DSTools 42.13.005,29.80,0.00
42001,QUIMICA / OUTROS,*Gas Aerogaz 130ml 42.001,19.80,0.00
7896558413286,QUIMICA / OUTROS,*Gas Butano 227gr 42.006,19.80,12.00
7896353911130,QUIMICA / OUTROS,*Gas Kinggas 400ml 42.005,19.80,0.00
7898314111641,QUIMICA / OUTROS,*Grafite Lubrificante 300ml 42.078.2 ,19.80,3.00
700366,QUIMICA,*Graxa para Mecanismo Branca 10g 70.036.6 ,8.90,0.00
700362,QUIMICA,*Graxa para Mecanismo Branca 15g 70.036.2,9.80,0.00
700361,QUIMICA,*Graxa para Mecanismo Branca Spray 300ml Orbigrax 70.036.1,16.90,0.00
4204510,FERRAMENTA,*Kit Confecção Circuito Impresso CK10 Ceteisa 42.045.10,69.80,0.00
4204511,FERRAMENTA,*Kit Confecção Circuito Impresso CK11 Ceteisa 42.045.11,108.90,21.00
4204515,FERRAMENTA,*Kit Confecção Circuito Impresso CK15 Ceteisa 42.045.15,52.90,0.00
420453,FERRAMENTA,*Kit Confecção Circuito Impresso CK3 Ceteisa 42.045.3,43.90,0.00
7898001612512,QUIMICA,*Limpa Latão 500ml Quimatic 42.114,37.90,0.00
040232758898,QUIMICA,*Lubmatic Oleo Desengripante 300ml Chemitron 42.088,9.90,0.00
7899737500395,QUIMICA,*Oleo WD40 100ml 42.073.1 ,22.90,0.00
7898193140015,QUIMICA,*Oleo WD40 300ml 42.073,38.90,4.00
7899009117863,QUIMICA / OUTROS,*Oleo WD40 500ml 42.073.2,59.80,12.00
7898314110118,QUIMICA,*Oleo White Lub 300ml 42.075,13.90,0.00
7898446730444,QUIMICA,*Pasta Termica 10gr Bisnaga 42.062.1,6.20,9.00
789446730451,QUIMICA,*Pasta Termica 15g Pote 42.060 ,4.40,16.00
7898446730468,QUIMICA,*Pasta Termica 50gr Bisnaga 42.062.2 4512 :CB4,14.90,32.00
420623,QUIMICA,*Pasta Termica Thermatic SprayOn15gr Bisnaga 42.062.3,7.90,0.00
42057,QUIMICA / PERCLORETO,*Percloreto de Ferro 1000gr  Comkitel 42.057,27.50,7.00
42053,QUIMICA / PERCLORETO,*Percloreto de Ferro 100gr  Comkitel 42.053 :CA3,6.40,44.00
42054,QUIMICA / PERCLORETO,*Percloreto de Ferro 250gr Comkitel 42.054 :CA3,10.40,22.00
42056,QUIMICA / PERCLORETO,*Percloreto de Ferro 500gr  Comkitel 42.056 :CA3,14.20,7.00
42055,QUIMICA / PERCLORETO,*Percloreto de Ferro Liquido 1 Litro Comkitel 42.055 :CA3,16.60,18.00
4891199042140,BATERIA / PILHA 12V,*Pilha 12V Alcalina A23 GC GP ou Golden Power 45.05.003 :BE2,4.90,107.00
041333121062,BATERIA / PILHA 12V,*Pilha 12V Alcalina Duracell 45.05.002,14.90,24.00
7897013553479,BATERIA / PILHA 12V,*Pilha 12V Alcalina Elgin 45.05.006  ,5.60,0.00
5379861524754,BATERIA / PILHA 12V,*Pilha 12V Alcalina Flex 45.05.001,4.90,0.00
4713968541831,BATERIA / PILHA 12V,*Pilha 12V Alcalina GP 27A  A27 Fina  45.05.005,4.95,55.00
008562016804,BATERIA / PILHA 12V,*Pilha 12V Alcalina Sony 0% Mercurio 45.05.007,10.20,17.00
041333000985,BATERIA / PILHA GR,*Pilha Grande Alcalina Duracell D com 2 45.09.003,38.90,6.00
4891199000003,BATERIA / PILHA GR,*Pilha Grande Alcalina GP D com 2 45.09.004,17.90,0.00
8712581546915,BATERIA / PILHA GR,*Pilha Grande com 2 Philips 45.09.002,9.80,0.00
7896067200339,BATERIA / PILHA GR,*Pilha Grande Panasonic com 2 Unidades 45.09.001,6.40,0.00
041333000992,BATERIA / PILHA MD,*Pilha Media Alcalina Duracell C com 2 45.08.003,23.90,5.00
8712581546823,BATERIA / PILHA MD,*Pilha Media com 2 Philips 45.08.002,8.90,0.00
4508001,BATERIA / PILHA MD,*Pilha Media Panasonic com 2 Unidades 45.08.001,2.10,0.00
008562000292,BATERIA / PILHA 12V,*Pilha Palito AAA Alcalina com 2 Elgin / Sony 45.06.003 ,7.40,48.00
4891199000041,BATERIA / PILHA 12V,*Pilha Palito AAA Alcalina com 2 GP 45.06.010,8.90,0.00
7896067200186,BATERIA / PALITO,*Pilha Palito AAA Alcalina com 2 Panasonic 45.06.003,7.90,0.00
041333001074,BATERIA / PALITO,*Pilha Palito AAA Alcalina Duracell com 2 45.06.005  :BE2,11.90,60.00
041333665832,BATERIA / PALITO,*Pilha Palito AAA Alcalina Duracell com 3+1 45.06.012  :BE2,17.90,30.00
4506009,BATERIA / PILHA 12V,*Pilha Palito AAA com 4 Goden Power 45.06.009 ,4.90,0.00
8712581546731,BATERIA / PILHA 12V,*Pilha Palito AAA com 4 Philips 45.06.004 ,7.90,0.00
7896009761911,REFRIGERACAO,*Pilha Palito AAA com 4 Rayovac 45.06.011,10.20,1.00
4891199149009,BATERIA / PALITO,*Pilha Palito AAA GP com 4 Unidades :BE2,5.90,43.00
008562000377,BATERIA / PILHA PQ,*Pilha Pequena AA Alcalina com 2 Elgin/Sony 45.07.005  ,6.40,44.00
041333001005,BATERIA / PILHA PQ,*Pilha Pequena AA Alcalina Duracell com 2 45.07.003 ;BE2,9.80,49.00
041333665665,BATERIA / PILHA PQ,*Pilha Pequena AA Alcalina Duracell com 3+1 45.07.004 :BE2,17.85,20.00
8712581544195,BATERIA / PILHA PQ,*Pilha Pequena AA Alcalina Philips com 2 45.07.006,6.40,0.00
8712581546649,BATERIA / PILHA PQ,*Pilha Pequena AA com 4 Philips 45.07.007,4.20,0.00
7896009718113,BATERIA / PILHA PQ,*Pilha Pequena AA com 4 Rayovac 45.07.015,8.20,0.00
4891199138003,BATERIA / PILHA PQ,*Pilha Pequena AA GP com 4 Unidades  45.07.002 :BE2,6.90,59.00
7896067203170,BATERIA / PILHA PQ,*Pilha Pequena AA Panasonic com 4 Unidades 45.07.001,3.80,0.00
4507008,BATERIA / PILHA PQ,*Pilha Pequena AA Philips CADA 45.07.008,1.05,0.00
5457987082010,BATERIA / PILHA PQ,"*Pilha Recarregavel 18650 3,7V x 3800mAh CADA 45.13.002",29.80,1.00
43062,PLACA / FENOLITE DUPLA,*Placa Fenolite Face Dupla  5 x  5 cm Comkitel 43.062,1.10,11.00
43063,PLACA / FENOLITE DUPLA,*Placa Fenolite Face Dupla  5 x 10 cm Comkitel 43.063,1.90,9.00
43064,PLACA / FENOLITE DUPLA,*Placa Fenolite Face Dupla  5 x 15 cm Comkitel 43.064,3.20,17.00
43065,PLACA / FENOLITE DUPLA,*Placa Fenolite Face Dupla  5 x 20 cm Comkitel 43.065,4.30,16.00
43066,PLACA / FENOLITE DUPLA,*Placa Fenolite Face Dupla  5 x 25 cm Comkitel 43.066,5.30,10.00
43067,PLACA / FENOLITE DUPLA,*Placa Fenolite Face Dupla  5 x 30 cm Comkitel 43.067,6.40,7.00
43068,PLACA / FENOLITE DUPLA,*Placa Fenolite Face Dupla 10 x 10 cm Comkitel 43.068,4.30,19.00
43069,PLACA / FENOLITE DUPLA,*Placa Fenolite Face Dupla 10 x 15 cm Comkitel 43.069,6.50,20.00
43070,PLACA / FENOLITE DUPLA,*Placa Fenolite Face Dupla 10 x 20 cm Comkitel 43.070,8.70,6.00
43071,PLACA / FENOLITE DUPLA,*Placa Fenolite Face Dupla 10 x 25 cm Comkitel 43.071,10.90,4.00
43072,PLACA / FENOLITE DUPLA,*Placa Fenolite Face Dupla 10 x 30 cm Comkitel 43.072,12.80,10.00
430721,PLACA / FENOLITE DUPLA,*Placa Fenolite Face Dupla 10 x 40 cm Comkitel 43.072.1,16.80,10.00
43073,PLACA / FENOLITE DUPLA,*Placa Fenolite Face Dupla 15 x 15 cm Comkitel 43.073,9.60,7.00
43074,PLACA / FENOLITE DUPLA,*Placa Fenolite Face Dupla 15 x 20 cm Comkitel 43.074,13.20,2.00
43075,PLACA / FENOLITE DUPLA,*Placa Fenolite Face Dupla 20 x 20 cm Comkitel 43.075,16.20,6.00
43076,PLACA / FENOLITE DUPLA,*Placa Fenolite Face Dupla107 x 117 cm Comkitel 43.076,449.80,0.00
43015,PLACA / FENOLITE SIMPLES,*Placa Fenolite Face Simples  5  x  5 cm Comkitel 43.015,0.80,152.00
43016,PLACA / FENOLITE SIMPLES,*Placa Fenolite Face Simples  5 x 10 cm Comkitel 43.016 :CD4,1.60,76.00
43017,PLACA / FENOLITE SIMPLES,*Placa Fenolite Face Simples  5 x 15 cm Comkitel 43.017,2.40,40.00
43018,PLACA / FENOLITE SIMPLES,*Placa Fenolite Face Simples  5 x 20 cm Comkitel 43.018,3.20,35.00
43019,PLACA / FENOLITE SIMPLES,*Placa Fenolite Face Simples  5 x 25 cm Comkitel 43.019,3.90,17.00
43020,PLACA / FENOLITE SIMPLES,*Placa Fenolite Face Simples  5 x 30 cm Comkitel 43.020,4.70,9.00
43021,PLACA / FENOLITE SIMPLES,*Placa Fenolite Face Simples 10 x 10 cm Comkitel 43.021 :CD4,3.20,93.00
43022,PLACA / FENOLITE SIMPLES,*Placa Fenolite Face Simples 10 x 15 cm Comkitel 43.022,4.70,50.00
43023,PLACA / FENOLITE SIMPLES,*Placa Fenolite Face Simples 10 x 20 cm Comkitel 43.023,6.20,29.00
43024,PLACA / FENOLITE SIMPLES,*Placa Fenolite Face Simples 10 x 25 cm Comkitel 43.024,8.20,22.00
43025,PLACA / FENOLITE SIMPLES,*Placa Fenolite Face Simples 10 x 30 cm Comkitel 43.025,9.80,11.00
43026,PLACA / FENOLITE SIMPLES,*Placa Fenolite Face Simples 10 x 40 cm Comkitel 43.026,13.10,18.00
43028,PLACA / FENOLITE SIMPLES,*Placa Fenolite Face Simples 15 x 15 cm Comkitel 43.028,7.20,20.00
43029,PLACA / FENOLITE SIMPLES,*Placa Fenolite Face Simples 15 x 20 cm Comkitel 43.029 ,9.40,28.00
43030,PLACA / FENOLITE SIMPLES,*Placa Fenolite Face Simples 15 x 25 cm Comkitel 43.030,10.50,15.00
43031,PLACA / FENOLITE SIMPLES,*Placa Fenolite Face Simples 15 x 30 cm Comkitel 43.031,11.70,6.00
43032,PLACA / FENOLITE SIMPLES,*Placa Fenolite Face Simples 15 x 40 cm Comkitel 43.032,18.60,5.00
43034,PLACA / FENOLITE SIMPLES,*Placa Fenolite Face Simples 20 x 20 cm Comkitel 43.034,12.40,12.00
43035,PLACA / FENOLITE SIMPLES,*Placa Fenolite Face Simples 20 x 25 cm Comkitel 43.035,15.70,6.00
43036,PLACA / FENOLITE SIMPLES,*Placa Fenolite Face Simples 20 x 30 cm Comkitel 43.036,18.60,2.00
43037,PLACA / FENOLITE SIMPLES,*Placa Fenolite Face Simples 20 x 40 cm Comkitel 43.037,25.20,9.00
43039,PLACA / FENOLITE SIMPLES,*Placa Fenolite Face Simples 25 x 25 cm Comkitel 43.039,19.30,16.00
43040,PLACA / FENOLITE SIMPLES,*Placa Fenolite Face Simples 25 x 30 cm Comkitel 43.040,23.20,1.00
43041,PLACA / FENOLITE SIMPLES,*Placa Fenolite Face Simples 25 x 40 cm Comkitel 43.041,30.70,10.00
43043,PLACA / FENOLITE SIMPLES,*Placa Fenolite Face Simples 30 x 30 cm Comkitel 43.043,28.50,3.00
43044,PLACA / FENOLITE SIMPLES,*Placa Fenolite Face Simples 30 x 40 cm Comkitel 43.044,37.30,1.00
43046,PLACA / FENOLITE SIMPLES,*Placa Fenolite Face Simples 40 x 40 cm Comkitel 43.046,49.40,5.00
43048,PLACA / FENOLITE SIMPLES,*Placa Fenolite Face Simples 50 x 50 cm Comkitel 43.048,93.40,4.00
430481,PLACA / FENOLITE SIMPLES,*Placa Fenolite Face Simples102 x 102 cm Comkitel 43.048.1,277.90,0.00
43077,PLACA / FIBRA DUPLA,*Placa Fibra Vidro Face Dupla  5 x  5 cm Comkitel 43.077,1.90,11.00
43078,PLACA / FIBRA DUPLA,*Placa Fibra Vidro Face Dupla  5 x 10 cm Comkitel 43.078,3.20,9.00
43079,PLACA / FIBRA DUPLA,*Placa Fibra Vidro Face Dupla  5 x 15 cm Comkitel 43.079,5.20,9.00
43080,PLACA / FIBRA DUPLA,*Placa Fibra Vidro Face Dupla  5 x 20 cm Comkitel 43.080,6.80,7.00
43082,PLACA / FIBRA DUPLA,*Placa Fibra Vidro Face Dupla  5 x 25 cm Comkitel 43.082,8.20,3.00
43083,PLACA / FIBRA DUPLA,*Placa Fibra Vidro Face Dupla  5 x 30 cm Comkitel 43.083,9.60,4.00
43084,PLACA / FIBRA DUPLA,*Placa Fibra Vidro Face Dupla 10 x 10 cm Comkitel 43.084,6.90,6.00
43085,PLACA / FIBRA DUPLA,*Placa Fibra Vidro Face Dupla 10 x 15 cm Comkitel 43.085,10.20,15.00
43086,PLACA / FIBRA DUPLA,*Placa Fibra Vidro Face Dupla 10 x 20 cm Comkitel 43.086,12.30,7.00
43087,PLACA / FIBRA DUPLA,*Placa Fibra Vidro Face Dupla 10 x 25 cm Comkitel 43.087,15.60,1.00
43088,PLACA / FIBRA DUPLA,*Placa Fibra Vidro Face Dupla 10 x 30 cm Comkitel 43.088,19.80,3.00
430881,PLACA / FIBRA DUPLA,*Placa Fibra Vidro Face Dupla 10 x 40 cm Comkitel 43.088.1,22.20,4.00
43089,PLACA / FIBRA DUPLA,*Placa Fibra Vidro Face Dupla 15 x 15 cm Comkitel 43.089,15.10,13.00
43090,PLACA / FIBRA DUPLA,*Placa Fibra Vidro Face Dupla 15 x 20 cm Comkitel 43.090,19.80,3.00
430901,PLACA / FIBRA DUPLA,*Placa Fibra Vidro Face Dupla 20 x 20 cm Comkitel 43.090.1,26.20,8.00
43091,PLACA / FIBRA DUPLA,*Placa Fibra Vidro Face Dupla 91.5 x 102 cm Comkitel 43.091,590.80,0.00
43049,PLACA / FIBRA SIMPLES,*Placa Fibra Vidro Face Simples  5 x  5 cm   Comkitel 43.049,1.70,36.00
43050,PLACA / FIBRA SIMPLES,*Placa Fibra Vidro Face Simples  5 x 10 cm  Comkitel 43.050,2.90,12.00
43051,PLACA / FIBRA SIMPLES,*Placa Fibra Vidro Face Simples  5 x 15 cm Comkitel 43.051,4.70,7.00
43052,PLACA / FIBRA SIMPLES,*Placa Fibra Vidro Face Simples  5 x 20 cm Comkitel 43.052,6.10,5.00
43053,PLACA / FIBRA SIMPLES,*Placa Fibra Vidro Face Simples  5 x 25 cm Comkitel 43.053,7.40,4.00
43054,PLACA / FIBRA SIMPLES,*Placa Fibra Vidro Face Simples  5 x 30 cm Comkitel 43.054,8.70,2.00
43055,PLACA / FIBRA SIMPLES,*Placa Fibra Vidro Face Simples 10 x 10 cm Comkitel 43.055,6.20,39.00
43056,PLACA / FIBRA SIMPLES,*Placa Fibra Vidro Face Simples 10 x 15 cm Comkitel 43.056,9.10,9.00
43057,PLACA / FIBRA SIMPLES,*Placa Fibra Vidro Face Simples 10 x 20 cm Comkitel 43.057,11.10,7.00
43058,PLACA / FIBRA SIMPLES,*Placa Fibra Vidro Face Simples 10 x 25 cm Comkitel 43.058,14.10,5.00
